Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
T000001,2024-02-15,1624,Female,43,Home,3,1162,3486
T000002,2023-12-24,6777,Female,30,Electronics,5,4772,23860
T000003,2025-07-10,11108,Male,28,Electronics,5,963,4815
T000004,2024-11-20,1968,Male,56,Beauty,5,3568,17840
T000005,2025-04-13,11397,Female,28,Sports,3,4783,14349
T000006,2025-02-06,10185,Male,55,Electronics,5,2932,14660
T000007,2024-07-01,10954,Female,42,Sports,6,2655,15930
T000008,2023-05-28,10704,Male,42,Sports,4,1992,7968
T000009,2023-12-12,5162,Male,56,Fashion,10,2246,22460
T000010,2023-08-21,11498,Female,38,Fashion,6,941,5646
T000011,2025-03-22,6960,Female,64,Beauty,7,803,5621
T000012,2023-02-13,9718,Female,51,Home,8,4805,38440
T000013,2025-04-14,9628,Female,50,Groceries,10,3100,31000
T000014,2023-05-21,1981,Female,29,Home,7,1825,12775
T000015,2023-01-11,10868,Female,54,Beauty,1,1846,1846
T000016,2024-01-24,6106,Female,65,Books,4,4043,16172
T000017,2025-05-17,1108,Female,40,Sports,6,3335,20010
T000018,2024-12-03,3740,Male,40,Books,4,2063,8252
T000019,2023-06-28,11556,Female,30,Groceries,4,1809,7236
T000020,2023-03-26,1267,Female,41,Home,10,4707,47070
T000021,2025-01-11,11923,Female,58,Sports,3,2059,6177
T000022,2025-03-09,2468,Female,21,Home,5,2926,14630
T000023,2024-01-09,10087,Male,46,Sports,3,4275,12825
T000024,2024-07-03,1439,Male,62,Beauty,4,722,2888
T000025,2025-09-21,10688,Female,31,Home,10,2746,27460
T000026,2023-06-26,11747,Male,34,Books,6,3831,22986
T000027,2024-12-26,11981,Female,42,Fashion,9,2103,18927
T000028,2023-06-19,4606,Male,50,Beauty,8,2580,20640
T000029,2024-05-24,7643,Male,41,Sports,1,144,144
T000030,2024-11-03,11052,Female,66,Fashion,10,1744,17440
T000031,2023-01-26,2101,Male,53,Books,3,476,1428
T000032,2025-08-03,2860,Male,31,Groceries,3,2171,6513
T000033,2025-06-10,8251,Male,37,Books,2,3884,7768
T000034,2023-09-03,3807,Female,51,Books,2,2937,5874
T000035,2023-11-07,3858,Female,42,Beauty,2,4062,8124
T000036,2024-05-13,5218,Male,45,Sports,10,1433,14330
T000037,2023-04-27,1236,Female,67,Sports,3,1671,5013
T000038,2023-12-20,11319,Male,57,Electronics,1,4446,4446
T000039,2025-06-11,9630,Male,61,Sports,9,690,6210
T000040,2024-11-09,6181,Female,52,Sports,1,3592,3592
T000041,2024-08-19,3688,Male,58,Sports,4,3887,15548
T000042,2024-10-02,6804,Female,59,Electronics,4,4723,18892
T000043,2025-08-21,4095,Male,57,Fashion,10,3998,39980
T000044,2024-07-01,10488,Male,58,Electronics,4,2986,11944
T000045,2024-02-29,1843,Female,64,Groceries,7,3154,22078
T000046,2025-02-15,8680,Female,32,Electronics,6,67,402
T000047,2025-08-01,6270,Female,41,Home,10,4085,40850
T000048,2024-03-06,3987,Female,64,Beauty,3,4941,14823
T000049,2024-01-12,9586,Male,64,Fashion,1,522,522
T000050,2025-04-15,1932,Female,56,Sports,9,373,3357
T000051,2023-12-14,10989,Female,23,Home,5,1198,5990
T000052,2023-07-27,4341,Male,65,Groceries,1,639,639
T000053,2024-10-22,10545,Female,49,Groceries,10,4290,42900
T000054,2024-05-10,4483,Male,40,Beauty,6,1749,10494
T000055,2024-10-09,4869,Male,33,Beauty,1,3074,3074
T000056,2024-08-08,10829,Female,52,Sports,8,4032,32256
T000057,2023-06-24,8803,Male,59,Groceries,9,3648,32832
T000058,2025-04-04,6422,Female,55,Home,5,2632,13160
T000059,2025-06-07,6860,Female,29,Beauty,6,1755,10530
T000060,2023-12-17,9607,Female,48,Groceries,10,3242,32420
T000061,2023-02-07,5421,Female,64,Home,5,3451,17255
